name,alpha,beta,humulene,caryophyllene,cohumulone,myrcene
Agnus,14.0,7.5,0.0,0.0,0.0,0.0
Ahtanum,9.5,5.75,18.0,10.5,32.5,52.5
Amarillo,9.5,6.5,10.0,3.0,22.5,69.0
Apollo,17.0,7.0,27.5,17.0,26.0,40.0
Bor,8.0,5.0,30.0,0.0,23.5,45.0
Bramling,6.0,2.8,31.0,16.0,34.0,36.0
Bravo,15.5,3.5,19.0,11.0,31.5,37.5
Brewers Gold,7.6,0.0,0.0,0.0,0.0,0.0
Bullion,7.75,5.5,26.5,10.0,37.5,50.0
Cascade,6.0,6.0,10.5,4.5,36.5,47.5
Centennial,10.5,4.0,11.0,5.0,29.0,58.0
Challenger,7.0,4.25,28.5,9.0,22.5,36.0
Chelan,13.0,9.15,13.5,10.5,34.0,50.0
Chinook,13.0,3.5,20.5,10.0,32.0,37.5
Citra,12.0,4.0,12.0,7.0,23.0,62.5
Cluster,7.75,5.0,16.5,6.5,40.0,50.0
Columbus/Tomahawk/Zeus,15.5,4.5,30.0,10.0,30.0,45.0
Crystal,4.5,5.5,21.0,6.0,23.0,52.5
El Dorado,15.0,7.5,13.0,7.0,29.0,57.0
First Gold,7.5,3.5,22.0,6.5,33.0,27.0
Fuggles,4.5,2.5,34.5,11.5,27.5,26.0
Galena,12.0,8.0,11.5,5.0,38.0,57.5
Glacier,5.5,8.2,30.0,9.0,29.0,47.5
Golding,5.0,2.5,40.0,14.5,25.5,30.0
Green Bullet,11.0,7.0,24.0,7.5,42.0,50.0
Hallertau,4.5,4.5,55.0,14.5,24.5,16.5
Harmonie,6.0,6.0,15.0,0.0,21.0,35.0
Hersbrucker,3.0,5.25,30.0,12.5,21.5,12.5
Kent Goldings,5.5,2.4,41.5,14.0,30.0,25.0
Liberty,4.5,3.5,35.0,10.5,26.0,33.0
Lublin (Lubelski),4.0,0.0,0.0,0.0,0.0,0.0
Magnum,13.5,6.0,37.5,10.5,25.0,37.5
Marynka,10.0,11.0,29.0,11.0,29.0,29.0
Millennium,15.5,4.8,25.0,10.5,30.0,35.0
Mount Hood,5.5,6.5,34.0,14.5,22.0,35.0
Northern Brewer,9.0,4.0,25.0,7.5,27.5,55.0
Nugget,13.0,5.0,17.5,8.0,24.0,51.5
Palisade,7.5,7.0,20.5,17.0,26.5,9.5
Perle,7.0,4.0,30.5,11.0,29.5,50.0
Phoenix,11.0,4.4,29.5,9.0,30.0,28.0
Premiant,8.0,4.5,30.0,0.0,21.0,42.5
Pride of Ringwood,8.5,5.0,5.0,7.5,37.5,37.5
Progress,5.5,2.3,43.5,13.5,30.5,32.5
Rubin,12.0,5.0,16.5,0.0,29.0,40.0
Saaz (Czech Republic),4.5,5.5,30.0,11.0,28.5,30.0
Saaz (USA),3.75,3.75,37.5,10.0,26.0,27.5
Simcoe,13.0,4.5,12.5,6.5,17.5,62.5
Sladek,6.0,7.5,25.0,0.0,27.5,45.0
Sorachi Ace,10.0,0.0,0.0,0.0,23.0,0.0
Spalt,5.5,4.0,25.0,10.5,25.5,27.5
Sterling,4.5,5.5,7.0,21.0,22.0,46.0
Strisselspalt,4.0,4.25,20.0,9.0,22.5,25.0
Styrian Goldings,4.5,3.0,31.5,9.5,29.0,31.5
Summit,17.0,5.0,20.0,12.5,29.5,40.0
Super Galena,14.5,9.0,21.5,10.0,37.5,52.5
Target,10.5,5.0,19.5,9.5,37.5,50.0
Tettnang,4.0,3.75,22.5,8.0,26.0,22.5
Tillicum,13.0,10.0,14.5,7.4,35.0,50.0
Tradition,5.5,4.5,45.0,12.5,27.5,24.5
Vanguard,5.5,6.0,46.5,12.5,17.5,22.5
Warrior,15.5,4.8,17.0,10.0,24.0,45.0
Willamette,5.0,4.0,23.5,7.35,32.5,35.0
